name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
gfish,4,256,8,32,256,7.676459648,88786666,19978000
gfish,4,256,8,32,512,15.910045568,88786666,19978000
gfish,4,256,8,32,1024,35.501817344,88786666,19978000
gfish,4,256,8,32,2048,87.81312128,88786666,19978000
gfish,4,256,8,32,4096,239.930623488,88786666,19978000
gfish,4,256,8,32,8192,734.813591808,88786666,19978000
gfish,4,512,8,64,128,8.409780544,183562474,46212880
gfish,4,512,8,64,256,16.862868736,183562474,46212880
gfish,4,512,8,64,512,34.638503424,183562474,46212880
gfish,4,512,8,64,1024,75.837872896,183562474,46212880
gfish,4,512,8,64,2048,182.068693504,183562474,46212880
gfish,4,512,8,64,4096,479.861246976,183562474,46212880
gfish,4,512,8,64,8192,1418.087576064,183562474,46212880
gfish,4,1024,8,128,128,20.015556736,391988458,117557008
gfish,4,1024,8,128,256,40.06744512,391988458,117557008
gfish,4,1024,8,128,512,81.760055552,391988458,117557008
gfish,4,1024,8,128,1024,175.828536832,391988458,117557008
gfish,4,1024,8,128,2048,409.242543616,391988458,117557008
gfish,4,1024,8,128,4096,1037.03190528,391988458,117557008
gfish,4,1024,8,128,8192,2938.934367232,391988458,117557008
gfish,4,2048,8,256,128,52.890849536,884337898,335742736
gfish,4,2048,8,256,256,105.80387072,884337898,335742736
gfish,4,2048,8,256,512,214.659465472,884337898,335742736
gfish,4,2048,8,256,1024,453.125676032,884337898,335742736
gfish,4,2048,8,256,2048,1018.201066496,884337898,335742736
gfish,4,2048,8,256,4096,2460.6108672,884337898,335742736
gfish,4,2048,8,256,8192,6599.903240192,884337898,335742736
gfish,4,4096,8,512,128,157.2960608,2171026666,1074104080
gfish,4,4096,8,512,256,314.587093248,2171026666,1074104080
gfish,4,4096,8,512,512,635.068307968,2171026666,1074104080
gfish,4,4096,8,512,1024,1316.965599744,2171026666,1074104080
gfish,4,4096,8,512,2048,2854.59340288,2171026666,1074104080
gfish,4,4096,8,512,4096,6544.399372288,2171026666,1074104080
gfish,4,4096,8,512,8192,16396.062148608,2171026666,1074104080
gfish,6,256,8,32,128,3.902887168,89311210,20502544
gfish,6,256,8,32,256,7.894574592,89311210,20502544
gfish,6,256,8,32,512,16.514309888,89311210,20502544
gfish,6,256,8,32,1024,37.381523712,89311210,20502544
gfish,6,256,8,32,2048,94.256604928,89311210,20502544
gfish,6,256,8,32,4096,263.549074432,89311210,20502544
gfish,6,256,8,32,8192,825.008428288,89311210,20502544
gfish,6,512,8,64,128,8.715938304,185659882,48310288
gfish,6,512,8,64,256,17.550756864,185659882,48310288
gfish,6,512,8,64,512,36.316154112,185659882,48310288
gfish,6,512,8,64,1024,80.400992,185659882,48310288
gfish,6,512,8,64,2048,196.029402624,185659882,48310288
gfish,6,512,8,64,4096,527.066148864,185659882,48310288
gfish,6,512,8,64,8192,1589.887314432,185659882,48310288
gfish,6,1024,8,128,128,21.160612864,400377322,125945872
gfish,6,1024,8,128,256,42.500425984,400377322,125945872
gfish,6,1024,8,128,512,87.196531712,400377322,125945872
gfish,6,1024,8,128,1024,188.98290688,400377322,125945872
gfish,6,1024,8,128,2048,444.672154624,400377322,125945872
gfish,6,1024,8,128,4096,1144.406610944,400377322,125945872
gfish,6,1024,8,128,8192,3299.873713152,400377322,125945872
gfish,6,2048,8,256,128,57.324251136,917892586,369297424
gfish,6,2048,8,256,256,114.947382528,917892586,369297424
gfish,6,2048,8,256,512,234.05364352,917892586,369297424
gfish,6,2048,8,256,1024,496.345849856,917892586,369297424
gfish,6,2048,8,256,2048,1122.314285056,917892586,369297424
gfish,6,2048,8,256,4096,2739.784787968,917892586,369297424
gfish,6,2048,8,256,8192,7442.36101632,917892586,369297424
gfish,6,4096,8,512,128,174.748844288,2305244650,1208322064
gfish,6,4096,8,512,256,350.038008832,2305244650,1208322064
gfish,6,4096,8,512,512,708.150893568,2305244650,1208322064
gfish,6,4096,8,512,1024,1471.848988672,2305244650,1208322064
gfish,6,4096,8,512,2048,3199.265051648,2305244650,1208322064
gfish,6,4096,8,512,4096,7373.490153472,2305244650,1208322064
gfish,6,4096,8,512,8192,18611.953645568,2305244650,1208322064

gfish,8,256,8,32,128,3.990974336,89835754,21027088
gfish,8,256,8,32,256,8.112609536,89835754,21027088
gfish,8,256,8,32,512,17.117854208,89835754,21027088
gfish,8,256,8,32,1024,39.26043008,89835754,21027088
gfish,8,256,8,32,2048,100.692088576,89835754,21027088
gfish,8,256,8,32,4096,287.175525376,89835754,21027088
gfish,8,256,8,32,8192,915.203264768,89835754,21027088
gfish,8,512,8,64,128,9.022168064,187757290,50407696
gfish,8,512,8,64,256,18.238644992,187757290,50407696
gfish,8,512,8,64,512,37.9938048,187757290,50407696
