,name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params,test_flops,train_flops
147,hard_gfish,2,512,8,64,128,8.103590784,181465050,44115456,8.103590784,24.229523086054645
148,hard_gfish,2,512,8,64,256,16.175060608,181465050,44115456,16.175060608,48.59331164574533
149,hard_gfish,2,512,8,64,512,32.960932736,181465050,44115456,32.960932736,98.94972593537368
150,hard_gfish,2,512,8,64,1024,71.273953792,181465050,44115456,71.273953792,213.48781831478803
151,hard_gfish,2,512,8,64,2048,168.115984384,181465050,44115456,168.115984384,504.5920647974837
152,hard_gfish,2,512,8,64,4096,432.616345088,181465050,44115456,432.616345088,1293.881064109847
153,hard_gfish,2,512,8,64,8192,1246.287837696,181465050,44115456,1246.287837696,3734.072891205481
154,hard_gfish,2,1024,8,128,128,18.870492608,383599578,109168128,18.870492608,56.668416694077365
155,hard_gfish,2,1024,8,128,256,37.634704256,383599578,109168128,37.634704256,112.75638587637764
156,hard_gfish,2,1024,8,128,512,76.324379392,383599578,109168128,76.324379392,228.20986140638252
157,hard_gfish,2,1024,8,128,1024,162.673366784,383599578,109168128,162.673366784,488.0852267936029
158,hard_gfish,2,1024,8,128,2048,373.804932608,383599578,109168128,373.804932608,1121.4672309053917
159,hard_gfish,2,1024,8,128,4096,929.657199616,383599578,109168128,929.657199616,2789.2853955043474
160,hard_gfish,2,1024,8,128,8192,2578.155021312,383599578,109168128,2578.155021312,7728.632565007306
161,hard_gfish,2,2048,8,256,128,48.457527936,850783194,302188032,48.457527936,145.11340752054244
162,hard_gfish,2,2048,8,256,256,96.660438912,850783194,302188032,96.660438912,290.08772830196
163,hard_gfish,2,2048,8,256,512,195.264487424,850783194,302188032,195.264487424,584.3465131394639
164,hard_gfish,2,2048,8,256,1024,409.913502208,850783194,302188032,409.913502208,1225.4812700224106
165,hard_gfish,2,2048,8,256,2048,914.047847936,850783194,302188032,914.047847936,2737.9608221015037
166,hard_gfish,2,2048,8,256,4096,2181.436946432,850783194,302188032,2181.436946432,6536.921090551873
167,hard_gfish,2,2048,8,256,8192,5758.405464064,850783194,302188032,5758.405464064,17330.825938391506
168,hard_gfish,2,4096,8,512,128,139.843517312,2036808666,939886080,139.843517312,420.5841602196122
169,hard_gfish,2,4096,8,512,256,279.136977664,2036808666,939886080,279.136977664,839.0305196825361
170,hard_gfish,2,4096,8,512,512,561.984922368,2036808666,939886080,561.984922368,1685.2069543083464
171,hard_gfish,2,4096,8,512,1024,1162.074210816,2036808666,939886080,1162.074210816,3495.8556958698136
172,hard_gfish,2,4096,8,512,2048,2509.921754112,2036808666,939886080,2509.921754112,7518.053698757121
173,hard_gfish,2,4096,8,512,4096,5715.468591104,2036808666,939886080,5715.468591104,17149.001876319606
174,hard_gfish,2,4096,8,512,8192,14179.370651648,2036808666,939886080,14179.370651648,42531.87521246313
175,gfish,2,256,8,32,128,3.726728832,88262122,19453456,3.726728832,11.19169300118308
176,gfish,2,256,8,32,256,7.458336704,88262122,19453456,7.458336704,22.31621665930551
177,gfish,2,256,8,32,512,15.306021248,88262122,19453456,15.306021248,45.91162883391205
178,gfish,2,256,8,32,1024,33.622910976,88262122,19453456,33.622910976,100.92031657627565
179,gfish,2,256,8,32,2048,81.368837632,88262122,19453456,81.368837632,243.74028408778233
180,gfish,2,256,8,32,4096,216.304172544,88262122,19453456,216.304172544,650.575771904406
181,gfish,2,256,8,32,8192,644.618755328,88262122,19453456,644.618755328,1936.0310180987863
182,gfish,2,512,8,64,128,8.103590784,181465066,44115472,8.103590784,24.261392361962315
183,gfish,2,512,8,64,256,16.175060608,181465066,44115472,16.175060608,48.66908967554951
184,gfish,2,512,8,64,512,32.960932736,181465066,44115472,32.960932736,99.00279863557988
185,gfish,2,512,8,64,1024,71.273953792,181465066,44115472,71.273953792,214.39301619054626
186,gfish,2,512,8,64,2048,168.115984384,181465066,44115472,168.115984384,504.35579798514044
187,gfish,2,512,8,64,4096,432.616345088,181465066,44115472,432.616345088,1294.09838560261
188,gfish,2,512,8,64,8192,1246.287837696,181465066,44115472,1246.287837696,3733.9932632344876
189,gfish,2,1024,8,128,128,18.870492608,383599594,109168144,18.870492608,56.76359261059711
190,gfish,2,1024,8,128,256,37.634704256,383599594,109168144,37.634704256,112.56068176546854
191,gfish,2,1024,8,128,512,76.324379392,383599594,109168144,76.324379392,228.2281373334564
192,gfish,2,1024,8,128,1024,162.673366784,383599594,109168144,162.673366784,487.82605183562754
193,gfish,2,1024,8,128,2048,373.804932608,383599594,109168144,373.804932608,1118.663324799065
194,gfish,2,1024,8,128,4096,929.657199616,383599594,109168144,929.657199616,2780.9758060115387
195,gfish,2,1024,8,128,8192,2578.155021312,383599594,109168144,2578.155021312,7711.3681580277525
196,gfish,2,2048,8,256,128,48.457527936,850783210,302188048,48.457527936,145.3528451617479
197,gfish,2,2048,8,256,256,96.660438912,850783210,302188048,96.660438912,290.49261591188406
198,gfish,2,2048,8,256,512,195.264487424,850783210,302188048,195.264487424,584.8614138485843
199,gfish,2,2048,8,256,1024,409.913502208,850783210,302188048,409.913502208,1232.988282453436
200,gfish,2,2048,8,256,2048,914.047847936,850783210,302188048,914.047847936,2748.370818911852
201,gfish,2,2048,8,256,4096,2181.436946432,850783210,302188048,2181.436946432,6561.227848040388
202,gfish,2,2048,8,256,8192,5758.405464064,850783210,302188048,5758.405464064,17287.700825568074
203,gfish,2,4096,8,512,128,139.843517312,2036808682,939886096,139.843517312,420.84708372021754
204,gfish,2,4096,8,512,256,279.136977664,2036808682,939886096,279.136977664,839.9038897347492
205,gfish,2,4096,8,512,512,561.984922368,2036808682,939886096,561.984922368,1689.8390511730772
206,gfish,2,4096,8,512,1024,1162.074210816,2036808682,939886096,1162.074210816,3474.703322906115
207,gfish,2,4096,8,512,2048,2509.921754112,2036808682,939886096,2509.921754112,7540.352404882287
208,gfish,2,4096,8,512,4096,5715.468591104,2036808682,939886096,5715.468591104,17095.968843955587
209,gfish,2,4096,8,512,8192,14179.370651648,2036808682,939886096,14179.370651648,42657.99199439805
210,fish,2,256,8,32,128,3.709951616,88260842,19452176,3.709951616,11.123623453505193
211,fish,2,256,8,32,256,7.39122784,88260842,19452176,7.39122784,22.249669391257175
212,fish,2,256,8,32,512,15.037585792,88260842,19452176,15.037585792,45.10894192285998
213,fish,2,256,8,32,1024,32.549169152,88260842,19452176,32.549169152,97.43196570425326
214,fish,2,256,8,32,2048,77.073870336,88260842,19452176,77.073870336,231.07069168024134
215,fish,2,256,8,32,4096,199.12430336,88260842,19452176,199.12430336,598.7239534476968
216,fish,2,256,8,32,8192,575.899278592,88260842,19452176,575.899278592,1732.2309830368044
217,fish,2,512,8,64,128,8.086813568,181463786,44114192,8.086813568,24.28942472953795
218,fish,2,512,8,64,256,16.107951744,181463786,44114192,16.107951744,48.378330486271004
219,fish,2,512,8,64,512,32.69249728,181463786,44114192,32.69249728,98.39697913515425
220,fish,2,512,8,64,1024,70.200211968,181463786,44114192,70.200211968,210.88941396480965
221,fish,2,512,8,64,2048,163.821017088,181463786,44114192,163.821017088,489.8704292632695
222,fish,2,512,8,64,4096,415.436475904,181463786,44114192,415.436475904,1248.5963356029947
223,fish,2,512,8,64,8192,1177.56836096,181463786,44114192,1177.56836096,3532.4293309403915
224,fish,2,1024,8,128,128,18.853715392,383598314,109166864,18.853715392,56.71882015506636
225,fish,2,1024,8,128,256,37.567595392,383598314,109166864,37.567595392,112.90712845313531
226,fish,2,1024,8,128,512,76.055943936,383598314,109166864,76.055943936,228.40633570678622
227,fish,2,1024,8,128,1024,161.59962496,383598314,109166864,161.59962496,484.3533771610608
228,fish,2,1024,8,128,2048,369.509965312,383598314,109166864,369.509965312,1110.0757738421494
229,fish,2,1024,8,128,4096,912.477330432,383598314,109166864,912.477330432,2746.1076719457865
230,fish,2,1024,8,128,8192,2509.435544576,383598314,109166864,2509.435544576,7544.7406342550075
231,fish,2,2048,8,256,128,48.44075072,850781930,302186768,48.44075072,145.293765633843
232,fish,2,2048,8,256,256,96.593330048,850781930,302186768,96.593330048,289.7103023095954
233,fish,2,2048,8,256,512,194.996051968,850781930,302186768,194.996051968,585.5854241809358
234,fish,2,2048,8,256,1024,408.839760384,850781930,302186768,408.839760384,1230.7666482553564
